rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-6.132086317250151,6.132086317250151,6.132086317250151,0.10445732001758548
2,-5.72624113207508,5.72624113207508,11.85832744932523,0.202001250661285
3,-3.7755883545085114,3.7755883545085114,15.633915803833741,0.2663166925186694
4,-3.3212942559104555,3.3212942559104555,18.955210059744196,0.3228934396505957
5,-3.1594743405824826,3.1594743405824826,22.11468440032668,0.37671365763304115
6,-2.984724681247659,2.984724681247659,25.09940908157434,0.4275570941183391
7,-2.9254327431748504,2.9254327431748504,28.02484182474919,0.47739051922589243
8,-2.7000352904703515,2.7000352904703515,30.72487711521954,0.5233844005582596
9,-2.6299213707490052,2.6299213707490052,33.354798485968544,0.5681839229447299
10,-2.548069215351451,2.548069215351451,35.90286770132,0.611589130843741
11,-2.515215344231045,2.515215344231045,38.41808304555104,0.6544346878911673
12,-2.469295946548608,2.469295946548608,40.88737899209965,0.6964980287448593
13,-2.421705766357343,2.421705766357343,43.30908475845699,0.7377506923796171
14,-2.407353590253279,2.407353590253279,45.71643834871027,0.7787588731785685
15,-2.351411408695604,2.351411408695604,48.067849757405874,0.8188141041886343
16,-2.209347152934623,2.209347152934623,50.2771969103405,0.8564493347845932
17,-2.1831691021671418,2.1831691021671418,52.46036601250764,0.8936386341126304
18,-2.120255190627393,2.120255190627393,54.58062120313504,0.9297562233812745
19,-2.078749053236946,2.078749053236946,56.659370256371986,0.9651667743514047
20,-2.04485761600507,2.04485761600507,58.704227872377054,1.0
