width,m,seed,checkpoint,step,p,train_loss,train_acc,curv_loss,curv_acc,gamma_emp,sqrt_m_gamma_emp,T_neg_top20,T_neg_SLQ,T_neg_used,r_eff_neg,r_eff_over_p,r_eff_over_sqrt_m,E_iso,E_aniso,E_aniso_over_E_iso,k50,k80,k90,local_gamma_max,local_gamma_mean,local_gamma_std
1,64,0,final,1000,76490,0.2383909523487091,97.4609375,0.24576246738433838,96.875,6.132086317250151,49.056690538001206,58.704227872377054,nan,58.704227872377054,9.573287921149511,0.0001251573790188196,1.1966609901436889,469043.28240646404,58.704227872377054,0.0001251573790188196,8,15,18,nan,nan,nan
2,128,0,final,1000,300426,0.348566472530365,89.453125,0.40297454595565796,87.5,8.677270452048967,98.17210846133574,118.64493763081396,nan,118.64493763081396,13.673071305827316,4.5512276919531984e-05,1.2085401799997122,2606877.652827263,118.64493763081396,4.551227691953199e-05,10,16,18,nan,nan,nan
4,256,0,final,1000,1190666,0.21036815643310547,98.4375,0.19955448806285858,98.4375,3.973998509858014,63.58397615772822,42.50488505794187,nan,42.50488505794187,10.695747608486274,8.98299574228732e-06,0.6684842255303921,4731704.909738602,42.50488505794187,8.98299574228732e-06,9,16,18,nan,nan,nan
