width,seed,step,train_loss,train_acc
1,2,250,1.333507776260376,51.7578125
1,2,500,0.9127897024154663,70.1171875
1,2,750,0.9982880353927612,65.234375
1,2,1000,0.4925885796546936,85.546875
1,2,1500,0.9960718750953674,66.2109375
1,2,2000,0.01789569854736328,100.0
2,2,250,1.3015700578689575,49.609375
2,2,500,1.0094547271728516,64.2578125
2,2,750,0.4781762659549713,87.5
2,2,1000,0.18027128279209137,98.2421875
2,2,1500,2.1028518676757812,23.4375
2,2,2000,0.07090039551258087,100.0
4,2,250,1.1367700099945068,58.59375
4,2,500,0.7272683382034302,75.390625
4,2,750,1.4066355228424072,47.8515625
4,2,1000,0.6346614360809326,77.9296875
4,2,1500,1.8833544254302979,34.5703125
4,2,2000,0.6002435088157654,81.25
