metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.3769892018407601
e_H,early,0.0,2.0,1.5465032588377878
e_pred,early,0.0,2.0,1.589329776492576
e_U,early,0.0,2.0,3.0930065176755885
e_euc,mid,2.0,10.0,1.0461817413013441
e_H,mid,2.0,10.0,1.0504575812185166
e_pred,mid,2.0,10.0,1.0521437261272102
e_U,mid,2.0,10.0,2.100915137551417
e_euc,full,0.0,10.0,1.0765691684262628
e_H,full,0.0,10.0,1.0941903237499173
e_pred,full,0.0,10.0,1.0997117943507309
e_U,full,0.0,10.0,2.1883806313112526
e_euc,long,5.0,10.0,1.0356583453527073
e_H,long,5.0,10.0,1.037386528301344
e_pred,long,5.0,10.0,1.0380905472246964
e_U,long,5.0,10.0,2.07477299624415
