width,step,time,D_euc,e_euc,D_H,e_H,U_gap,e_U,D_pred,e_pred,grad_norm,theta_norm,max_abs_theta,nan_or_inf
64,0,0.0,4.581861399617482,1.0,7.289115915837101,1.0,26.565605417254872,1.0,4.277172998026409,1.0,12.948596646979782,0.0,0.0,0.0
64,4,0.004317879671889406,4.532113499793247,0.9891424258646522,7.1904967708956535,0.986470355790724,25.85162190613042,0.9731237628538777,4.217765069274616,0.9861104685783799,12.74434277615604,0.05557837820348488,0.021257022528719454,0.0
64,8,0.008635759343778813,4.483170028993643,0.9784604199000698,7.09365275345121,0.973184242829613,25.159954693272994,0.947087570491848,4.159433242167635,0.972472528954732,12.543959770495194,0.11028075151699203,0.0421670180445672,0.0
64,12,0.01295363901566822,4.435014823712633,0.9679504543901942,6.998547961788648,0.9601367357298937,24.48983678672802,0.9218625512980555,4.102155808396799,0.9590811057419545,12.34736917815603,0.1641233579111906,0.06273616298121813,0.0
64,16,0.017271518687557625,4.387632065460404,0.9576090769194168,6.905147236431835,0.9473230109331895,23.840529178401127,0.8974208870435245,4.045911507613528,0.9459312282856946,12.154494172272527,0.2171221071823126,0.08297051778893753,0.0
64,20,0.02158939835944703,4.341006273604169,0.9474329088100698,6.813416144867204,0.9347383446137354,23.211319781568534,0.8737357728912263,3.9906795181718344,0.9330180284999532,11.965259516606283,0.269292587870391,0.1028760291913102,0.0
64,24,0.02590727803133644,4.295122298348648,0.9374186435904035,6.723320966590584,0.9223781106269402,22.601522409898294,0.8507813789637246,3.936439448068094,0.9203367387488096,11.779591531948842,0.32065007402908774,0.12245853239692281,0.0
64,28,0.030225157703225845,4.249965313853447,0.9275630454924403,6.634828678469889,0.9102377785012804,22.010475796323263,0.8285328134109466,3.8831713260736174,0.9078826897732232,11.59741806325712,0.3712095318503158,0.14172375326691683,0.0
64,32,0.03454303737511525,4.205520811484612,0.917862947979114,6.547906940416422,0.8983129114725353,21.43754265017678,0.8069660869182632,3.830855593055617,0.8956513086618817,11.418668447505596,0.42098562614678836,0.1606773104393096,0.0
64,36,0.03886091704700466,4.161774593197727,0.9083152523001183,6.462524081357738,0.8865991645593915,20.882108751064337,0.786058078597411,3.779473093482288,0.8836381168650947,11.243273482239255,0.4699927266955622,0.17932471741096392,0.0
64,40,0.04317879671889406,4.118712765049966,0.8989169260758996,6.378649085505176,0.8750922826794743,20.343582078008026,0.7657865032051736,3.7290050671078157,0.8718387282507555,11.071165394811649,0.518244914445573,0.19767138457806624,0.0
64,44,0.04749667639078347,4.076321730838607,0.8896650019092501,6.296251578909331,0.8637880988048814,19.821391972459125,0.7461298796369515,3.679433140833214,0.8602488472014093,10.902277812292708,0.5657559875920977,0.21572262123595848,0.0
64,48,0.05181455606267288,4.034588185863559,0.8805565760239686,6.215301816296882,0.8526825321563157,19.314988333831664,0.7270675006445065,3.6307393207390017,0.8488642667514997,10.736545732031418,0.6125394675210117,0.23348363753914847,0.0
64,52,0.05613243573456228,3.9934991108115176,0.8715888069300647,6.135770668182383,0.8417715864349422,18.823840846263636,0.708579403729199,3.582905984285812,0.8376808667638769,10.573905492858664,0.6586086046256519,0.25095954642230855,0.0
64,56,0.06045031540645169,3.9530417657594414,0.8627589141150062,6.057629608248746,0.8310513480911041,18.347438235365928,0.6906463431640415,3.5359158726791255,0.8266946121446765,10.414294746915965,0.7039763839990278,0.2681553654830545,0.0
64,60,0.0647681950783411,3.9132036842950675,0.8540641767605109,5.980850700990317,0.8205179846290673,17.88528755376818,0.6732497630997463,3.489752083394399,0.8159015510957015,10.257652432096073,0.748655531004073,0.28507601882728095,0.0
