metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.1636454101500058
e_H,early,0.0,2.0,1.2741830278449344
e_pred,early,0.0,2.0,1.310617673841928
e_U,early,0.0,2.0,2.5483660556898875
e_euc,mid,2.0,10.0,0.8020409482830895
e_H,mid,2.0,10.0,0.823275292064201
e_pred,mid,2.0,10.0,0.8355452788806829
e_U,mid,2.0,10.0,1.6465505855574412
e_euc,full,0.0,10.0,0.8553259489540361
e_H,full,0.0,10.0,0.8851778074783108
e_pred,full,0.0,10.0,0.8999578078528928
e_U,full,0.0,10.0,1.7703556159116447
e_euc,long,5.0,10.0,0.7517596819354507
e_H,long,5.0,10.0,0.7655125137675131
e_pred,long,5.0,10.0,0.7745065388844318
e_U,long,5.0,10.0,1.53102503069985
