metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.45175460928985
e_H,early,0.0,2.0,6.551223351756443
e_pred,early,0.0,2.0,6.555569424004656
e_U,early,0.0,2.0,13.102466142079791
e_euc,mid,2.0,10.0,2.1484945196653356
e_H,mid,2.0,10.0,2.1307882458154905
e_pred,mid,2.0,10.0,2.129890566487346
e_U,mid,2.0,10.0,49.01568323227612
e_euc,full,0.0,10.0,3.1928663480232693
e_H,full,0.0,10.0,3.186769043846286
e_pred,full,0.0,10.0,3.1864400127952637
e_U,full,0.0,10.0,82.32679224420208
e_euc,long,5.0,10.0,0.10278083797450654
e_H,long,5.0,10.0,0.09336212423538273
e_pred,long,5.0,10.0,0.09288624392871414
e_U,long,5.0,10.0,0.6781219003431697
