metric,threshold,tau
e_euc,0.5,0.3324767347354843
e_H,0.5,0.254754900641475
e_pred,0.5,0.24611914129769616
e_U,0.5,0.12090063081290338
e_euc,0.1,1.498304246145624
e_H,0.1,1.2090063081290336
e_pred,0.1,1.1528738723944714
e_U,0.1,0.46633100456405585
e_euc,0.01,3.5752043683244286
e_H,0.01,3.177959438510603
e_pred,0.01,3.0872839654009256
e_U,0.01,1.2090063081290336
