metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.277494281878465
e_H,early,0.0,2.0,2.401252422789858
e_pred,early,0.0,2.0,2.4180445993332316
e_U,early,0.0,2.0,4.802504845581721
e_euc,mid,2.0,10.0,1.812130078225783
e_H,mid,2.0,10.0,1.820316386138613
e_pred,mid,2.0,10.0,1.82191288205202
e_U,mid,2.0,10.0,56.751268306891824
e_euc,full,0.0,10.0,1.8688383421100996
e_H,full,0.0,10.0,1.8860378069614483
e_pred,full,0.0,10.0,1.8889520014340064
e_U,full,0.0,10.0,38.92733381871693
e_euc,long,5.0,10.0,1.7712777398057926
e_H,long,5.0,10.0,1.7759554336802013
e_pred,long,5.0,10.0,1.7769064180577385
e_U,long,5.0,10.0,125.13178060359611
