metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,3.776753620592462
e_H,early,0.0,2.0,3.9178402496363827
e_pred,early,0.0,2.0,3.9286531680558907
e_U,early,0.0,2.0,7.83568049675141
e_euc,mid,2.0,10.0,3.0536517851294276
e_H,mid,2.0,10.0,3.0544840262072928
e_pred,mid,2.0,10.0,3.054583741962496
e_U,mid,2.0,10.0,16.58854566283803
e_euc,full,0.0,10.0,3.1263957575421326
e_H,full,0.0,10.0,3.138742245382367
e_pred,full,0.0,10.0,3.139836227399992
e_U,full,0.0,10.0,16.51908552111134
e_euc,long,5.0,10.0,3.0011123326633817
e_H,long,5.0,10.0,2.9965518282326675
e_pred,long,5.0,10.0,2.9960928559676048
e_U,long,5.0,10.0,-8.86945835992177
